game_number,date,goal_word,bot_solved,num_guesses,guess1,guess1_state,guess2,guess2_state,guess3,guess3_state,guess4,guess4_state,guess5,guess5_state,guess6,guess6_state
67,2021-08-24,panel,True,3,balky,?gy??,carol,?g??g,panel,ggggg,,,,,,
68,2021-08-25,crass,True,5,balky,?y???,irate,?gg??,grand,?gg??,crash,gggg?,crass,ggggg,,
69,2021-08-26,flume,True,6,balky,??y??,liter,y??y?,oleos,?gy??,elude,ygg?g,plume,?gggg,flume,ggggg
70,2021-08-27,offal,True,5,balky,?yy??,alert,yy???,snail,??y?g,ducal,???gg,offal,ggggg,,
71,2021-08-28,agree,True,5,balky,?y???,irate,?yy?g,adore,g??yg,aurae,g?gyg,agree,ggggg,,
72,2021-08-29,error,True,3,balky,?????,noire,?y?yy,error,ggggg,,,,,,
73,2021-08-30,swirl,True,4,balky,??y??,liter,yy??y,roils,y?gyy,swirl,ggggg,,,,
74,2021-08-31,argue,True,4,balky,?y???,irate,?gy?g,arose,gg??g,argue,ggggg,,,,
75,2021-09-01,bleed,True,4,balky,g?y??,boils,g??y?,betel,gy?gy,bleed,ggggg,,,,
76,2021-09-02,delta,True,3,balky,?yg??,villa,??gyg,delta,ggggg,,,,,,
77,2021-09-03,flick,True,5,balky,??yy?,liker,yyy??,slink,?gg?g,click,ygggg,flick,ggggg,,
78,2021-09-04,totem,True,5,balky,?????,noire,?g??y,cooed,?gyg?,motes,yggg?,totem,ggggg,,
79,2021-09-05,wooer,False,6,balky,?????,noire,?g?yy,cored,?gyg?,roves,yg?g?,toter,?g?gg,moper,?g?gg
80,2021-09-06,front,True,4,balky,?????,noire,yy?y?,croon,?ggyy,front,ggggg,,,,
81,2021-09-07,shrub,True,4,balky,y????,tribe,?y?y?,scrub,g?ggg,shrub,ggggg,,,,
82,2021-09-08,parry,True,3,balky,?g??g,party,ggg?g,parry,ggggg,,,,,,
83,2021-09-09,biome,True,3,balky,g????,bocce,gy??g,biome,ggggg,,,,,,
84,2021-09-10,lapel,True,4,balky,?gy??,carol,?g??g,panel,yg?gg,lapel,ggggg,,,,
85,2021-09-11,start,True,5,balky,?y???,irate,?ygy?,chart,??ggg,swart,g?ggg,start,ggggg,,
86,2021-09-12,greet,True,4,balky,?????,noire,???yy,crest,?gg?g,greet,ggggg,,,,
87,2021-09-13,goner,True,5,balky,?????,noire,yg?yy,toner,?gggg,honer,?gggg,goner,ggggg,,
88,2021-09-14,golem,True,5,balky,??g??,cills,??gy?,doled,?ggg?,poler,?ggg?,golem,ggggg,,
89,2021-09-15,lusty,True,5,balky,??y?g,coyly,??yyg,lefty,g??gg,linty,g??gg,lusty,ggggg,,
90,2021-09-16,loopy,True,4,balky,??y?g,coyly,?gyyg,loony,ggg?g,loopy,ggggg,,,,
91,2021-09-17,round,True,4,balky,?????,noire,yg?y?,corns,?gyg?,round,ggggg,,,,
92,2021-09-18,audit,True,4,balky,?y???,irate,y?yy?,titan,yyyy?,audit,ggggg,,,,
93,2021-09-19,lying,True,3,balky,??y?y,lyres,gg???,lying,ggggg,,,,,,
94,2021-09-20,gamma,True,5,balky,?g???,carat,?g?y?,panda,?g??g,mamma,ygggg,gamma,ggggg,,
95,2021-09-21,labor,True,4,balky,ygy??,lambs,gg?y?,labia,ggg?y,labor,ggggg,,,,
96,2021-09-22,islet,True,3,balky,??g??,cills,?ygyy,islet,ggggg,,,,,,
97,2021-09-23,civic,True,6,balky,?????,noire,??y??,tutti,????y,discs,?g?y?,mimic,?g?gg,civic,ggggg
98,2021-09-24,forge,True,6,balky,?????,noire,?g?yg,horse,?gg?g,torte,?gg?g,force,ggg?g,forge,ggggg
99,2021-09-25,corny,True,3,balky,????g,deity,????g,corny,ggggg,,,,,,
100,2021-09-26,moult,True,4,balky,??y??,liter,y?y??,stool,?yyyy,moult,ggggg,,,,
101,2021-09-27,basic,True,5,balky,gg???,barbs,gg?yy,based,ggg??,basin,gggg?,basic,ggggg,,
102,2021-09-28,salad,True,4,balky,?gg??,calla,?ggyy,paled,?gg?g,salad,ggggg,,,,
103,2021-09-29,agate,True,4,balky,?y???,irate,??ggg,state,?yggg,agate,ggggg,,,,
104,2021-09-30,spicy,True,4,balky,????g,deity,??g?g,shiny,g?g?g,spicy,ggggg,,,,
105,2021-10-01,spray,True,4,balky,?y??g,amity,y???g,heady,??y?g,spray,ggggg,,,,
106,2021-10-02,essay,True,4,balky,?y??g,amity,y???g,heady,?yy?g,essay,ggggg,,,,
107,2021-10-03,fjord,True,5,balky,?????,noire,?y?g?,odors,yygg?,chord,??ggg,fjord,ggggg,,
108,2021-10-04,spend,True,5,balky,?????,noire,y???y,tenet,?yyy?,emend,y?ggg,spend,ggggg,,
109,2021-10-05,kebab,True,3,balky,yy?y?,aback,yyy?y,kebab,ggggg,,,,,,
110,2021-10-06,guild,True,5,balky,??y??,liter,yy???,olios,?yg??,child,??ggg,guild,ggggg,,
111,2021-10-07,aback,True,2,balky,yy?y?,aback,ggggg,,,,,,,,
112,2021-10-08,motor,True,5,balky,?????,noire,?g?y?,cords,?gy??,rotor,ygggg,motor,ggggg,,
113,2021-10-09,alone,True,4,balky,?yy??,alert,ggy??,aloes,gggy?,alone,ggggg,,,,
114,2021-10-10,hatch,True,6,balky,?g???,carat,yg?yy,patch,?gggg,natch,?gggg,match,?gggg,hatch,ggggg
115,2021-10-11,hyper,True,4,balky,????y,eyrie,ygy?y,dyers,?gyy?,hyper,ggggg,,,,
116,2021-10-12,thumb,True,3,balky,y????,tribe,g??y?,thumb,ggggg,,,,,,
117,2021-10-13,dowry,True,4,balky,????g,deity,g???g,dowdy,gggyg,dowry,ggggg,,,,
118,2021-10-14,ought,True,4,balky,?????,noire,?y???,scoot,??yyg,ought,ggggg,,,,
119,2021-10-15,belch,True,4,balky,g?g??,bolls,g?gy?,belie,ggg?y,belch,ggggg,,,,
120,2021-10-16,dutch,True,4,balky,?????,noire,?????,tutus,yggy?,dutch,ggggg,,,,
121,2021-10-17,pilot,True,4,balky,??g??,cills,?ggy?,filed,?gg??,pilot,ggggg,,,,
122,2021-10-18,tweed,True,4,balky,?????,noire,????y,duets,y?gy?,tweed,ggggg,,,,
123,2021-10-19,comet,True,5,balky,?????,noire,?g??y,cooed,ggyg?,cotes,ggyg?,comet,ggggg,,
124,2021-10-20,jaunt,False,6,balky,?g???,carat,?g?yg,paint,?g?gg,haunt,?gggg,taunt,ygggg,daunt,?gggg
125,2021-10-21,enema,True,4,balky,?y???,irate,??y?y,apnea,y?yyg,enema,ggggg,,,,
126,2021-10-22,steed,True,4,balky,?????,noire,????y,duets,y?gyy,steed,ggggg,,,,
127,2021-10-23,abyss,True,3,balky,yy??y,yerba,y??yy,abyss,ggggg,,,,,,
128,2021-10-24,growl,True,5,balky,??y??,liter,y???y,drool,?ggyg,prowl,?gggg,growl,ggggg,,
129,2021-10-25,fling,True,6,balky,??y??,liter,yy???,olios,?gg??,ilium,ygg??,cling,?gggg,fling,ggggg
130,2021-10-26,dozen,True,4,balky,?????,noire,yg??y,coned,?gygy,dozen,ggggg,,,,
131,2021-10-27,boozy,True,5,balky,g???g,booty,ggg?g,boomy,ggg?g,booby,gggyg,boozy,ggggg,,
132,2021-10-28,erode,True,5,balky,?????,noire,?y?yg,prose,?gg?g,grove,?gg?g,erode,ggggg,,
133,2021-10-29,world,True,4,balky,??y??,liter,y???y,drool,yyyyy,world,ggggg,,,,
134,2021-10-30,gouge,True,5,balky,?????,noire,?g??g,moose,?gy?g,coupe,?gg?g,gouge,ggggg,,
135,2021-10-31,click,True,4,balky,??yy?,liker,yyy??,slink,?gg?g,click,ggggg,,,,
136,2021-11-01,briar,True,3,balky,gy???,board,g?yy?,briar,ggggg,,,,,,
137,2021-11-02,great,True,4,balky,?y???,irate,?gyyy,treat,ygggg,great,ggggg,,,,
138,2021-11-03,altar,True,3,balky,?yy??,alert,gg?yy,altar,ggggg,,,,,,
139,2021-11-04,pulpy,True,4,balky,??g?g,dilly,??gyg,holey,??g?g,pulpy,ggggg,,,,
140,2021-11-05,blurt,True,4,balky,g?y??,boils,g??y?,betel,g?y?y,blurt,ggggg,,,,
141,2021-11-06,coast,True,4,balky,?y???,irate,??gy?,chant,g?g?g,coast,ggggg,,,,
142,2021-11-07,duchy,True,5,balky,????g,deity,g???g,dowdy,g??yg,dungy,gg??g,duchy,ggggg,,
143,2021-11-08,groin,True,4,balky,?????,noire,yyyy?,irons,yggy?,groin,ggggg,,,,
144,2021-11-09,fixer,False,6,balky,?????,noire,??yyy,riser,yg?gg,direr,?gygg,miter,?g?gg,fiver,gg?gg
145,2021-11-10,group,True,5,balky,?????,noire,?y?y?,trots,?gg??,groom,gggy?,group,ggggg,,
146,2021-11-11,rogue,True,5,balky,?????,noire,?g?yg,horse,?gy?g,route,ggy?g,rogue,ggggg,,
147,2021-11-12,badly,True,2,balky,ggy?g,badly,ggggg,,,,,,,,
148,2021-11-13,smart,True,6,balky,?y???,irate,?ygy?,chart,??ggg,swart,g?ggg,start,gyggg,smart,ggggg
149,2021-11-14,pithy,True,5,balky,????g,deity,??yyg,tinny,yg??g,ritzy,?gg?g,pithy,ggggg,,
150,2021-11-15,gaudy,True,5,balky,?g??g,party,?g??g,candy,?g?gg,daddy,ygygg,gaudy,ggggg,,
151,2021-11-16,chill,True,6,balky,??y??,liter,yy???,olios,?yg??,child,gggg?,chili,ggggy,chill,ggggg
152,2021-11-17,heron,True,4,balky,?????,noire,yy?yy,tenor,?gygy,heron,ggggg,,,,
153,2021-11-18,vodka,True,3,balky,?y?g?,peaks,??yg?,vodka,ggggg,,,,,,
154,2021-11-19,finer,True,6,balky,?????,noire,y?yyy,inter,yy?gg,diner,?gggg,miner,?gggg,finer,ggggg
155,2021-11-20,surer,True,5,balky,?????,noire,???yy,crest,?yyy?,seder,gy?gg,surer,ggggg,,
156,2021-11-21,radio,True,4,balky,?g???,carat,?gyy?,manor,?g?yy,radio,ggggg,,,,
157,2021-11-22,rouge,True,5,balky,?????,noire,?g?yg,horse,?gy?g,route,ggg?g,rouge,ggggg,,
158,2021-11-23,perch,True,5,balky,?????,noire,???yy,crest,yyy??,recur,ygg?y,perch,ggggg,,
159,2021-11-24,retch,True,4,balky,?????,noire,???yy,crest,yyy?y,retch,ggggg,,,,
160,2021-11-25,wrote,True,6,balky,?????,noire,?y?yg,prose,?gg?g,grove,?gg?g,erode,ygg?g,wrote,ggggg
161,2021-11-26,clock,True,4,balky,??yy?,liker,y?y??,knoll,yggyy,clock,ggggg,,,,
162,2021-11-27,tilde,True,4,balky,??g??,cills,?ggy?,filed,?ggyy,tilde,ggggg,,,,
163,2021-11-28,store,True,4,balky,?????,noire,?y?gg,chore,??ggg,store,ggggg,,,,
164,2021-11-29,prove,True,4,balky,?????,noire,?y?yg,prose,ggg?g,prove,ggggg,,,,
165,2021-11-30,bring,True,4,balky,g????,bocce,g????,brigs,gggy?,bring,ggggg,,,,
166,2021-12-01,solve,True,4,balky,??g??,cills,??gyy,soled,gggy?,solve,ggggg,,,,
167,2021-12-02,cheat,True,5,balky,?y???,irate,??yyy,anent,y?g?g,exeat,y?ggg,cheat,ggggg,,
168,2021-12-03,grime,True,6,balky,?????,noire,??gyg,prise,?gg?g,trite,?gg?g,crime,?gggg,grime,ggggg
169,2021-12-04,exult,True,4,balky,??y??,liter,y?yy?,stele,?yygy,exult,ggggg,,,,
170,2021-12-05,usher,True,6,balky,?????,noire,???yy,crest,?yyy?,seder,yy?gg,muser,?yygg,usher,ggggg
171,2021-12-06,epoch,True,5,balky,?????,noire,?y??y,octet,yy?y?,secco,?yygy,epoch,ggggg,,
172,2021-12-07,triad,True,3,balky,?y???,irate,ygyy?,triad,ggggg,,,,,,
173,2021-12-08,break,True,2,balky,gy?y?,break,ggggg,,,,,,,,
174,2021-12-09,rhino,True,3,balky,?????,noire,yygy?,rhino,ggggg,,,,,,
175,2021-12-10,viral,True,4,balky,?yy??,alert,yy?y?,liras,yggg?,viral,ggggg,,,,
176,2021-12-11,conic,True,3,balky,?????,noire,ygy??,conic,ggggg,,,,,,
177,2021-12-12,masse,True,4,balky,?g???,carat,?g?y?,panda,?g??y,masse,ggggg,,,,
178,2021-12-13,sonic,True,6,balky,?????,noire,ygy??,conic,ygggg,ionic,ygggg,tonic,?gggg,sonic,ggggg
179,2021-12-14,vital,True,4,balky,?yy??,alert,yy??y,lotta,y?gyy,vital,ggggg,,,,
180,2021-12-15,trace,True,3,balky,?y???,irate,?ggyg,trace,ggggg,,,,,,
181,2021-12-16,using,True,5,balky,?????,noire,y?g??,chins,??ggy,suing,yyggg,using,ggggg,,
182,2021-12-17,peach,True,4,balky,?y???,irate,??g?y,deans,?gg??,peach,ggggg,,,,
183,2021-12-18,champ,True,5,balky,?y???,irate,??g??,whang,?gg??,shams,?ggg?,champ,ggggg,,
184,2021-12-19,baton,True,4,balky,gg???,barbs,gg?y?,banjo,ggy?y,baton,ggggg,,,,
185,2021-12-20,brake,True,2,balky,gy?g?,brake,ggggg,,,,,,,,
186,2021-12-21,pluck,True,5,balky,??yy?,liker,y?y??,knoll,yg?yy,cluck,ygggg,pluck,ggggg,,
187,2021-12-22,craze,True,5,balky,?y???,irate,?gg?g,crane,ggg?g,crave,ggg?g,craze,ggggg,,
188,2021-12-23,gripe,True,5,balky,?????,noire,??gyg,prise,ygg?g,tripe,?gggg,gripe,ggggg,,
189,2021-12-24,weary,True,4,balky,?y??g,amity,y???g,heady,?gg?g,weary,ggggg,,,,
190,2021-12-25,picky,True,4,balky,???gg,cocky,y?ggg,dicky,?gggg,picky,ggggg,,,,
191,2021-12-26,acute,True,3,balky,?y???,irate,??ygg,acute,ggggg,,,,,,
192,2021-12-27,ferry,True,4,balky,????g,deity,?g??g,merry,?gggg,ferry,ggggg,,,,
193,2021-12-28,aside,True,4,balky,?y???,irate,y?y?g,anise,g?gyg,aside,ggggg,,,,
194,2021-12-29,tapir,True,4,balky,?g???,carat,?gyyy,pater,ygy?g,tapir,ggggg,,,,
195,2021-12-30,troll,True,3,balky,??y??,liter,y?y?y,troll,ggggg,,,,,,
196,2021-12-31,unify,True,4,balky,????g,deity,??g?g,shiny,??gyg,unify,ggggg,,,,
197,2022-01-01,rebus,True,4,balky,y????,tribe,?y?yy,robes,g?gyg,rebus,ggggg,,,,
198,2022-01-02,boost,True,4,balky,g????,bocce,gg???,boobs,gggyy,boost,ggggg,,,,
199,2022-01-03,truss,True,5,balky,?????,noire,???y?,strut,yyyyy,rusts,yyyyg,truss,ggggg,,
200,2022-01-04,siege,True,4,balky,?????,noire,??y?g,midge,?g?gg,siege,ggggg,,,,
201,2022-01-05,tiger,True,6,balky,?????,noire,??yyy,riser,yg?gg,direr,?gygg,miter,?gygg,tiger,ggggg
202,2022-01-06,banal,True,2,balky,ggy??,banal,ggggg,,,,,,,,
203,2022-01-07,slump,True,6,balky,??y??,liter,y????,cools,???yy,slung,ggg??,slush,gggy?,slump,ggggg
204,2022-01-08,crank,True,4,balky,?y?y?,asker,y?y?y,krona,yg?gy,crank,ggggg,,,,
205,2022-01-09,gorge,True,6,balky,?????,noire,?g?yg,horse,?gg?g,torte,?gg?g,force,?gg?g,gorge,ggggg
206,2022-01-10,query,True,4,balky,????g,deity,?y??g,emery,y?ggg,query,ggggg,,,,
207,2022-01-11,drink,True,4,balky,???y?,inker,yyy?y,crink,?gggg,drink,ggggg,,,,
208,2022-01-12,favor,True,6,balky,?g???,carat,?gyy?,manor,?g?gg,razor,yg?gg,savor,?gggg,favor,ggggg
209,2022-01-13,abbey,True,2,balky,yy??g,abbey,ggggg,,,,,,,,
210,2022-01-14,tangy,True,5,balky,?g??g,party,?g?yg,matey,?gy?g,tansy,ggg?g,tangy,ggggg,,
211,2022-01-15,panic,True,3,balky,?g???,carat,yg?y?,panic,ggggg,,,,,,
212,2022-01-16,solar,True,4,balky,?yg??,villa,??gyy,colas,?gggy,solar,ggggg,,,,
213,2022-01-17,shire,True,4,balky,?????,noire,??ggg,spire,g?ggg,shire,ggggg,,,,
214,2022-01-18,proxy,True,5,balky,????g,deity,????g,corny,?yy?g,prosy,ggg?g,proxy,ggggg,,
215,2022-01-19,point,True,4,balky,?????,noire,ygg??,coins,?ggg?,point,ggggg,,,,
216,2022-01-20,robot,True,3,balky,y????,tribe,yy?y?,robot,ggggg,,,,,,
217,2022-01-21,prick,True,5,balky,???y?,inker,y?y?y,skirt,?ygy?,crick,ygggg,prick,ggggg,,
218,2022-01-22,wince,True,6,balky,?????,noire,y?y?g,hinge,?gg?g,since,?gggg,mince,?gggg,wince,ggggg
219,2022-01-23,crimp,True,4,balky,?????,noire,??gy?,crits,ggg??,crimp,ggggg,,,,
220,2022-01-24,knoll,True,3,balky,??yy?,liker,y?y??,knoll,ggggg,,,,,,
221,2022-01-25,sugar,True,4,balky,?y???,irate,?yy??,sonar,g??gg,sugar,ggggg,,,,
222,2022-01-26,whack,True,5,balky,?y?y?,asker,y?y??,okapi,?yg??,thank,?gg?g,whack,ggggg,,
223,2022-01-27,mount,True,4,balky,?????,noire,yg???,coons,?gyg?,mount,ggggg,,,,
224,2022-01-28,perky,True,5,balky,???gg,cocky,???gg,dinky,???gg,jerky,?gggg,perky,ggggg,,
225,2022-01-29,could,True,4,balky,??y??,liter,y????,cools,ggyg?,could,ggggg,,,,
226,2022-01-30,wrung,True,4,balky,?????,noire,y??y?,runts,yyy??,wrung,ggggg,,,,
227,2022-01-31,light,True,5,balky,??y??,liter,ggy??,lints,gg?y?,licit,gg?yg,light,ggggg,,
228,2022-02-01,those,True,4,balky,?????,noire,?y??g,chose,?gggg,those,ggggg,,,,
229,2022-02-02,moist,True,4,balky,?????,noire,?gg??,coifs,?gg?y,moist,ggggg,,,,
230,2022-02-03,shard,True,4,balky,?y???,irate,?yg??,chard,?gggg,shard,ggggg,,,,
231,2022-02-04,pleat,True,4,balky,?yy??,alert,ygg?g,cleat,?gggg,pleat,ggggg,,,,
232,2022-02-05,aloft,True,3,balky,?yy??,alert,gg??g,aloft,ggggg,,,,,,
233,2022-02-06,skill,True,4,balky,??yy?,liker,yyy??,slink,gyg?y,skill,ggggg,,,,
234,2022-02-07,elder,True,3,balky,??y??,liter,y??gg,elder,ggggg,,,,,,
235,2022-02-08,frame,True,6,balky,?y???,irate,?gg?g,crane,?gg?g,grade,?gg?g,erase,ygg?g,frame,ggggg
236,2022-02-09,humor,True,5,balky,?????,noire,?y?y?,trots,?yy??,rumor,ygggg,humor,ggggg,,
237,2022-02-10,pause,True,5,balky,?g???,carat,?g?y?,panda,gg??y,passe,ggygg,pause,ggggg,,
238,2022-02-11,ulcer,True,4,balky,??y??,liter,y??gg,elder,yg?gg,ulcer,ggggg,,,,
239,2022-02-12,ultra,True,3,balky,?yy??,alert,yg?gy,ultra,ggggg,,,,,,
240,2022-02-13,robin,True,3,balky,y????,tribe,?yyy?,robin,ggggg,,,,,,
241,2022-02-14,cynic,True,3,balky,????y,eyrie,?g?g?,cynic,ggggg,,,,,,
242,2022-02-15,aroma,True,4,balky,?y???,irate,?gy??,groan,?ggy?,aroma,ggggg,,,,
243,2022-02-16,caulk,True,3,balky,?gyy?,laker,ygy??,caulk,ggggg,,,,,,
244,2022-02-17,shake,True,5,balky,?y?g?,peaks,?yggy,stake,g?ggg,snake,g?ggg,shake,ggggg,,
245,2022-02-18,dodge,True,5,balky,?????,noire,?g??g,moose,?gy?g,coupe,?g??g,dodge,ggggg,,
246,2022-02-19,swill,True,6,balky,??y??,liter,yy???,olios,?yg?y,spill,g?ggg,shill,g?ggg,swill,ggggg
247,2022-02-20,tacit,True,4,balky,?g???,carat,yg?yg,tacet,ggg?g,tacit,ggggg,,,,
248,2022-02-21,other,True,5,balky,?????,noire,?y?yy,error,yyyyg,ocher,g?ggg,other,ggggg,,
249,2022-02-22,thorn,True,4,balky,?????,noire,yy?g?,snort,?yggy,thorn,ggggg,,,,
250,2022-02-23,trove,True,5,balky,?????,noire,?y?yg,prose,?gg?g,grove,?gggg,trove,ggggg,,
251,2022-02-24,bloke,True,2,balky,g?yg?,bloke,ggggg,,,,,,,,
252,2022-02-25,vivid,True,5,balky,?????,noire,??y??,tutti,????y,discs,yg???,vivid,ggggg,,
253,2022-02-26,spill,True,4,balky,??y??,liter,yy???,olios,?yg?y,spill,ggggg,,,,
254,2022-02-27,chant,True,3,balky,?y???,irate,??gy?,chant,ggggg,,,,,,
